source,english_sentence,hindi_sentence
tides,"They charged a heavy commission , but neglected proper maintenance and development .",वे कमीशन बहुत अधिक लेते थे.लेकिन विकास और उचित देखभाल की और कोई ध्यान नहीं देते थे .
tides,Chemical fertilisers are also often washed out of the soil by rain .,"वर्षा के कारण मिट्टी , से रासायनिक उर्वरक अक्सर घुल जाते हैं ."
ted,There were remixes.,और कुछ रिमिक्स भी बनाये गये |
tides,"Other parts and provisions of the Constitution are only an elaboration and an attempt to give concrete shape , content and meaning to the words of the Preamble .","संविधान के अन्य भाग तथा उपबंध उद्देशिका के शब्दों की एक व्याख्या तथा उन्हें ठोस रूप , विचार-तत्व और अर्थ प्रदान करने का एक प्रयास मात्र हैं ."
ted,We've shown that you can actually reverse heart disease.,हम ने यह प्रदर्शित किया है कि आप वास्तविकता में अपने दिल की बीमारी को ठीक कर सकते हैं ।
indic2012,Agra on Wikimapia,विकिमैपिया पर आगरा
ted,"the [intra-ocular lens] prices to be at affordable levels,","कृत्रिम लेंस को कम कीमत पर उपलब्ध नहीं करवा पाये,"
tides,Pakhtoon groups in India feel the film might trigger racial conflicts .,भारत के पतून गुटों का मानना है कि इससे जातिगत टकराव भड़ेक सकता है .
indic2012,Majority of these ladies were forcefully abducted and were kept there.,इनमें अधिकांश स्त्रियों को बलपूर्वक अपहृत करवा कर वहां रखा हुआ था।
indic2012,In General purtagali good way means baua bahiya which is refined name of bom baia,सामान्य पुर्तगाली में गुड बे (अच्छी खाड़ी) का रूप है: बोआ बहिया जो कि गलत शब्द बोम बहिया का शुद्ध रूप है।
tides,"He made another tour of the country , this time exhorting the Hindu community to do the work of social service and reform , specially the education and uplift of women in the organised , Western way .","उन्होने अपने देश की एक और दूसरी यात्रा की और इस बार हिंदू समुदाय को समाज सेवा और सुधार के लिये प्रोत्साहि करते हुये विशेषकर महिलाओं की शिक्षा तथा उद्धार , पश्चिमी तरीके से संगठित रूप में करने पर जोर दिया ."
ted,we're all becoming fat.,हम सब मोटे होते जा रहे हैं.
ted,"Friends, this has never happened,","दोस्तों , ये कभी नहीं हुआ ,"
ted,you can see the surface there -,आप देख सकते हैं यह सतह -
ted,"As the Koran promises, patience is rewarded,","जैसा कि क़ुरान वादा करता है, सब्र का फल मिलता है,"
tides,"The builders or the craftsmen sthapatis and the silpins who belonged to the same guilds of artisans , had common principles and set methods of design and construction and they worked in collaboration with the priesthood which knew the rituals , the nature of the object of veneration , and the modes of their worship .","इनके निर्माता या कारीगर स्थपति तथा शिल्पी , एक ही श्रेणी के लोग थे.जिनके निर्माण के ढंग तथा बनावट एवं स्थापत्य के , स्वकीय , किंतु एक जैसे ही सिद्धांत थे.वे पुरोहितों के साथ मिलकर काम करते Zथे जिन्हें कर्मकांड आराध्य के वैशिष्ट्य तथा उसकी पूजा विधि का ज्ञान"
ted,part like the Red Sea when the bell rings.,जब लाल सागर घंटी बजती है
ted,And it happened twice.,और ऐसा दो बार हुआ
tides,"In an interview to india today in Dushanbe , the capital of neighbouring Tajikistan , Abdullah admitted , ” A big war is now certain .","पड़ेसी देश ताजिकिस्तान की राजधानी दुशांबे में अदुल्ल ने इंड़िया टुड़े से बातचीत में माना , ' ' बड़ी लड़ई का होना अब तय है ."
tides,"On March 13 , Reckitt Benckiser Plc-makers of Dettol and many other consumer products-decided to bid goodbye to the Indian stock markets .",ड़ेटॉल और कई अन्य उपभोक्ता सामग्रियों की निर्माता रेकिट बेंकाइजर प्ले.ने 13 मार्च को फैसल किया कि अब वह भारतीय शेयर बाजार को अलविदा कह देगी .
ted,were located near ventilation ducts.,वेंटिलेशन नलिकाएं के निकट स्थित थे
indic2012,This will follows,इन्हें भी देखें
tides,"He took an extraordinary interest and pride in his home , his garden , his horses , and his carriages .","उन्हें अपनेZ मकान , उद्यान , घोडों और वाहनों के मामलों में असाधारण रूचि और अभिमान था ."
tides,They are dedicated to Vishnu and are noted for their fine sculptured panels .,वे विष्णु को समर्पित हैं और अपने उत्कृष्ण मूर्तियों से युक़्त फलकों के लिए उल्लेख़नीय हैं .
ted,Get those who killed this guy.,जिसने उस व्यक्ति की हत्या की है
indic2012,This reason for this goes to musical nature of Krishna's poetry.,इसका कारण है- कृष्ण-का्य की संगीतात्मक्ता।
ted,between the individual and the natural world.,बीच संबंध दर्शाने वाले लक्षण रुचिकारक हैं ।
ted,all of these characteristics in spades.,इन सभी विशेशताओं के काफी समान है.
tides,"” Long ago , when I was a child , you wrapped me round with your affection as the evening envelopes the earth with its peace .","? बहुत पहले जब मैं एक बालक था , तुम मुझे अपने स्नेहांचल में उसी तरह लपेट लिया करती थीं जिस तरह संध्या अपनी नीरवता में धरती को अपनी गोद में छुपा लेती है ."
indic2012,Harivansh ray Bachchan (English Wikipedia),# हरिवंश राय बच्चन (अंग्रेज़ी विकीपीडिया पर)
indic2012,NDTV News,एन डी टी वी खबर
tides,"If you want information on any NHS service , ring the Health Information Service on 0800-665544 .","यदि आप किसी एन एच एस सेवा के बारे में जानकारी चाहते हैं , तो हैल्थ इन्फर्मेशन को 0800-665544 पर फोन कीइजए ."
ted,So I'm going to show you a very quick video,तो मैं आपको छोटा सा वीडियो दिखाउंगी
ted,"was the depletion of matter,","पदार्थ के अवक्षय के रूप में देखा,"
indic2012,Rai Rajvansh (year 489-632) of Sind has ruled on this.,सिन्ध के राय राजवंश (सन् 489-632) ने इसपर शासन किया ।
indic2012,"Many scholars imply this to 8,000 years B.C. which is baseless.",बहुत से विद्वान इसका तात्पर्य इसा पू. ८००० से लगाते है जो आधारहीन है।
tides,"The imports of white and coloured goods also increased , but they constituted a small quantity .",सफेद और रंगीन माल के आयात में भी वृद्धि हुई लेकिन मात्रा बहुत कम थी .
ted,in terms of the distances and directions,दुरी और दिशा के आधार पर
ted,But the extension of the logic is,लेकिन इस तर्क का विस्तार है
ted,"have on this moon, under the south pole,",इस चांद पर दक्षिणी ध्रुव के नीचे
tides,Around 320 million units of iv sets are used around the country annually .,देश भर में आइवी की सालना करीब 3.20 करोड़े बोतलं का इस्तेमाल होता है .
ted,"And I'd go at the end of the day to a traditional Hindu house,","और दिन खत्म होने पर एक परंपरागत हिंदू परिवार में जाता था,"
ted,"He said to me, “I would be free.”","उसने मुझसे कहा, “मैं आज़ाद हो जाऊंगा |”"
tides,"The embellished median band , or patta , common in the Chalukyan corbels , is absent .","अलंऋत मधऋ-ऊण्श्छ्ष्-य मोडऋ या पट्ट जो चालुकऋ-ऊण्श्छ्ष्-य पोतिकाओं में सामानऋ-ऊण्श्छ्ष्-य है , वह यहां नहीं है ."
tides,"Although you ca n't be around all the time , your children want to feel you 're always interested in them .","यद्यपि आप अपने बच्चों के आस-पास हर समय नहीं रह सकते हैं , लेकिन वे यह आश्वासन चाहते हैं कि आपकी उनमें दिलचस्पी हमेशा बनी रहती है ."
indic2012,"Terrorism in furthering its objective by using a wide range of political organizations ;both right wing and left wing political parties, Nationalist (nationalistic), And religious groups, revolutionaries and ruling governments. Presence of non-state actors in spreading armed conflict has created controversy regarding the application of Laws of War.",आतंकवाद अपने उद्देश्यों furthering में राजनीतिक संगठनों की एक व्यापक श्रेणी के द्वारा प्रयोग किया गया है; दोनों दक्षिणपंथी और बाएँ विंग राजनीतिक दलों राष्ट्रवादी (nationalistic) और धार्मिक समूहों क्रांतिकारियों और सत्तारूढ़ सरकारों.गैर की उपस्थिति-व्यापक सशस्त्र संघर्ष में राज्य अभिनेताओं विवाद के के आवेदन के संबंध में बनाया गया है युद्ध के कानूनों (laws of war).
tides,"RAMALINGA , LIKE BUDDHA -LRB- 568-488 B.C . -RRB- , RAMAKRISHNA -LRB- 1836 to 1886 A.D . -RRB- and Ramana Maharshi -LRB- 1879-1950 A.D . -RRB- became a jivanmukta -LRB- a liberated soul during earth-life -RRB- .","भगवान बुद्ध ( 568-488 ई . पू . ) , रामकृष्ण ( 1836-1886 ई . ) तथा रमण महिर्ष ( 1879-1950 ई . ) की तरह रामलिंग भी जीवन-मुक़्त हो गये थे ."
ted,"Before I tell you why it isn't, I'm going to go a little bit","इससे पहले कि मैं आपको बताऊं कि यह क्यों नहीं है, मै कुछ बात करूंगा"
indic2012,Weather Nepal a Hindu country or not is decided by election.,नेपाल के हिन्दू राष्ट्र होने या ना होने का अंतिम फैसला संविधान सभा के चुनाव से निर्वाचित विधायक करेंगे)।
ted,"is universally condemned, but ethnocide,",इसकी विश्व भर में निन्दा की जाती है।
ted,and what everything else looks like.,और बाकी सब कुछ कैसा होता होगा.
indic2012,When woman is on top,जब महिला उपर हो
tides,"For the good part of four months Dhindsa - otherwise a second-rung Akali politician and president of the Cycling Federation of India - has enlightened the country with his views on Indian cricket , its morality , administration , playing schedules , everything .","दूसरी कतार के अकाली नेता और भारतीय साइकिल चालन महासंघ के अध्यक्ष ढींढसा पूरे चार महीने से देश को भारतीय क्रिकेट , उसकी नैतिकता , प्रशासन , खेल संबंधी कार्यक्रमों आदि-आदि चीजों के बारे में अपने दिव्य ज्ञान से अवगत कराते आ रहे हैं ."
ted,we want to know not only how much total light it receives,हम सिर्फ यह नहीं जानना कहते कि यह कितना प्रकाश प्राप्त करता है
ted,can now become the architects of their own identities,अब अपनी पहचान खुद बना सकने की क्षमता रखते हैं
tides,The Darogha-i-Adalat and the Kotwal were required to be present on such occasions to carry out the judgements given by the emperor .,सम्राट के निर्णयों को क्रियान्वित करने के लिए दारोगा-ए-अदालत और कोतवाल उपस्थित रहते थे .
tides,"First , it successfully exposes India 's own criminal ignorance of developments on the other side of the Durand Line .","पहल , किताब डऋउरंडऋ रेखा के उस पार चल रही गतिविधियों के बारे में भारत की स्वयं की आपराधिक अनभि&ता का सफलतापूर्वक खुलासा करती है ."
indic2012,"The Virat face of Shri krishna,",श्रीकृष्ण का विराट रुप
tides,"Ladies are very particular about their appearance but all they need wash regularly are the face , arms and hands .","महिलाएं भले ही अपने प्रस्तुतिकरण के मामले में बड़ी चौकस रहती हों , लेकिन वे अपने चेहरे , हाथ और बांहों को ही नियमित रूप से धोती पोंछती हैं ."
ted,There she is.,वह वहाँ है.
indic2012,webudaipur - Information about Udaipur.,वेबउदयपुर उदयपुर के बारे में जानकारी !
tides,"On the surface of the pupa we may notice indications of the legs , wings , etc , of the future butterfly .","उसकी सतह पर भावी तितली की टांगों , पंखों आदि के चिह्न दिखाई देते हैं ."
indic2012,Solar Gas Heater Project Report,सौर वायु तापन परियोजना विश्लेषण
tides,"Man must have acquired this capacity to talk by profound modification of the human brain and ear whereby a considerable area of cerebral cortex has been set aside solely for this purpose , and that without much evidence of selection against dumb type .",मनुष्य को वाकशक़्ति प्राप्त करने के लिए अपने मस्तिष्क में तथा कान में बहुत परिवर्तन करने की आवश्यकता थी.प्रमस्तिष्क प्रांतस्था1 का एक बड़ा क्षेत्र इसी काम के लिए सुरक्षित रखा गया है.मूक लोगों में ऐसा नव किये जाने का कोई प्रमाण उपलब्ध नहीं है .
indic2012,Fatepur Sikaree.,फतेहपुर सीकरी
tides,He was also incarcerated in the Cellular Jail .,उन्हें भी सेलूलर जेल में बंद किया गया .
ted,co-advised by Steve Seitz at U.W.,यूडब्ल्यू के स्टीव सीटज और माइक्रोसॉफ़्ट रिसर्च के रिक स्जिलेस्की
indic2012,to believe that good deeds are the rights of human beings,कर्म को मानव के नैतिक संस्थान का आधार मानना
indic2012,He has started playing in 1989.,उन्होंने अपने खेल की शुरुआत १९८९ मे की थी।
tides,"As during his exile in Burma , he was reduced to a skeleton .",बर्मा-निर्वासन की भांति इस बार भी वह हड्डियों का ढांचा बन गये .
tides,Younger lice tend to remain for about 6 days on the head where they have hatched .,कम बढऋए हुए जूऋ लगभग 6 दिनों तक उसी सिर में रहते हैं जहाऋ उनका जन्म होता है .
indic2012,The day of danteras is auspicious to buy utensils and each and every family will buy some thing or the other based on their necessity,धनतेरस के दिन बरतन खरीदना शुभ माना जाता है अतैव प्रत्येक परिवार अपनी-अपनी आवश्यकता अनुसार कुछ न कुछ खरीदारी करता है।
ted,"we have to engage at least two of those modalities,","तो हमें कम से कम इन में दो ज़रियों का इस्तेमाल करना होगा,"
tides,"By giving a green signal for additional manpower and equipment , the Government has in effect injected more funds into the agency .",अतिरिक्त कर्मचारियों और उपकरणों की मंजूरी देकर सरकार ने इस एजेंसी को और पैसा मुहैया करा दिया है .
tides,"Age is beginning to tell on its 160year-old building , but its academic excellence is unwithered .",इस 160 साल पुराने संस्थान की इमारत पर समय असर दिखा रहा है लेकिन शिक्षा के मामले में उसकी बढेत बरकरार है .
ted,Infection in India.,भारत में संक्रमण.
ted,that had brought our economy to the brink of collapse.,जिनके कारण हमारी अर्थव्यवस्था पतन के कगार पर पहुँच गई
tides,"Because of this , it is the only organisation which has developed a vast prestige in India and the strength and will to stand up against British imperialism .","यही वजह है कि यही एक संगठन है , जिसे हिंदुस्तान में सब जगह इज़्जत मिली हुई है और साथ ही ब्रिटिश साम्राज़्यवाद के खिलाफ मजबूती से डटे रहने की ताकत और हौसला ."
ted,So what happened on this day?,सो इस दिन क्या हुआ?
indic2012,To put up a link for the site write down in an appropriate or a new folder in the following format:,साइट का लिंक लगाने के लिए निम्नांकित फार्मेट में उपयुक्त कक्ष में/या नया कक्ष बना कर लिखें :
tides,The Cabinet has also approved tolling of all national highways and legal wrangles in land acquisition have been sorted by amending relevant laws .,कैबिनेट ने सभी राष्ट्रीय राजमार्गों पर चुंगी लगाने की मंजूरी दे दी है और जमीन के अधिग्रहण की बाधाओं को दूर कर लिया गया है .
tides,"Improvement of the country pigs , in India , is generally sought through upgrading by the use of the boars of some of the exotic breeds .",भारत में प्राय : देसी सूअरों में सुधार कुछ विदेशी नस्लों के सूअरों के इस्तेमाल से किया जाता है .
tides,"Between 1987 and 1989 , Gurung was absent for more than 80 days at a stretch .",1987 और 1989 के दौरान गुरुंग लगातार 80 दिनों से भी ज्यादा अरसे तक गैरहाजिर रहे .
indic2012,"other than judges work, working committee is the main",1 विधायिका न्यायपालिका के कार्यॉ को पृथक करने के पश्चात सरकार का बचा कार्य ही कार्यपालिका है।
tides,"Also , applications for people already in this country require us to make a decision on the immigration aspect of the case and this may take more time .","और उन व्यक्तियों के आवेदनों पर जो कि पहले से ही इस देश में रह रहे है , उन को हमारे द्वारा निर्णय लिये जाने के बाद हम अऑफिस के प्रारंभिक कंसीड़रेशन यूनिट की स्वीकृति की ज़रुरत होगी , और यह कुछ जादा समय ले सकता है ."
tides,"In the year 1867 , he founded a Society , under the name of San- marga -Veda Santnarga Sangam which means a society based on the principle of Universal Brotherhood , and for the propagation of the true Vedic doctrine .",सन् 1867 में उन्होनें एक समाज की स्थापना की जिसका नाम था समरस वेद सन्मार्ग संगम जिसका अर्थ था एक ऐसा समाज जो विश्व-बंधुत्व के सिद्धांतो पर आधारित हो .
indic2012,Rajdhani Times.,राजधानी टाइम्स
ted,make up a web of spiritual life and cultural life,और आध्यामिक जीवन तथा सांस्कृतिक जीवन का जाल बुनें
tides,"remember that you benefit if your GP has a good night 's sleep , so please only call your doctor out at night if it cannot wait until the next day .","ध्यान में रखें आपके जी.पी . रात में अच्छी निंद मिलने से फायदेमंद हो सकते है , तो अगर आप दूसरे दिन तक रुक सकते है तो अपने जी.पी . को रात में दूरभाष न करे"
indic2012,Died on 18 January 2006 at Mumbai,निधन : १८ जनवरी २००३ को मुम्बई में।
indic2012,Bachchan is known for his great voice.,बच्चन अपनी जबरदस्त आवाज़ के लिए जाने जाते हैं।
ted,"It went a whole life cycle without competition,",उसने अपना पूरा जीवन-चक्र बिना प्रतिस्पर्धा के पूरा किया;
indic2012,returned in politics:2000-past,सत्ता में वापस लौटें : २००० - वर्तमान
ted,"As we just heard from Michael Specter, it has changed over the years.","जैसे हमने अभी माइकल स्पेक्टर से सुना, यह सालों से बदलती आ रही है |"
ted,"And there's a volcano behind,","और पीछे एक ज्वालामुखी है,"
tides,"As a result , reservoirs lose their storage capacity -LRB- already many of our reservoirs are silted heavily -RRB- .",इसके परिणामस्वरूप जलाशयों की जल भंडारण क्षमता समाप्त हो जाती है ( हमारे बहुत से जलाशयों में पहले ही काफी गाद जमा हो चुकी है ) .
ted,because the news mostly depressed him.,क्योंकि खबर ज्यादातर उसे उदास.
tides,I am not just one and fifty years old .,मैं सिर्फ पचास एक साल का नहीं हूं .
indic2012,"Due to security reasons, only five items- transparent water bottles, small video camera, still camera, mobile phone and small ladies purse - are only allowed to be taken inside Taj Mahal.",सुरक्षा कारणों से केवल पाँच वस्तुएं - पारदर्शी बोतलों में पानी छोटे वीडियो कैमरा स्थिर कैमरा मोबाइल फोन एवं छोटे महिला बटुए - ताजमहल में ले जाने की अनुमति है।
indic2012,Tradition,परंपरा
tides,Implementation of a policy is more important than mere formulation .,नीति का निर्माण करने की अपेक्षा नीति को कार्य रूप देना कहीं अधिक महत्व रखता है .
ted,there's always two sides.,तो उस में हमेशा दो पक्ष निहित होते हैं।
tides,"many basic services -LRB- in both the public and private sectors -RRB- were weakest where they were most needed , with deprived areas having fewer GPs , poorer shopping facilities , and more failing schools .","कई मूलभूत सेवाएँ ( सार्वजनिक तथा निजी क्षेत्रों में ) सब से कमजोर वहाँ थी जहाँ सब से अधिक ज़रुरत थी |भाष्; मिसाल के तौर पर , वंचित क्षेत्रों में जी पी ( डाक्टरों ) की संख्या कम थी , वहाँ खरीदरी करने की सुविधाओं का अभाव था और असफल स्कूल भी अधिक थे |भाष्;"
tides,"After all Tripuri was not India . . . in spite of what I had experienced in Tripuri , how could I lose my fundamental faith in man ?","आखिर त्रिपुरी ही तो भारत नहीं है . . . मैंने जो कुछ भी वहां झेला , उसके बावजूद मैं मनुष्य में अपनी आधारभूत आस्था कैसे खो सकता हूं ?"
tides,Loudspeakers in the street,सडक पर लाउडस्पीकर .
tides,"Towards the end of the First Plan period , it was realised that the perspective of development needed a big push in the country 's steel programme and it was essential to act quickly if , even as the experience of a few years had taught , steel shortages were not to hold back a surging economy .","प्रथम , योजना के अन्त में , यह अनुभव किया गया कि विकास की संभावनाओं के लिए आवश्यकता थी , देश के इस्पात कार्यक्रम को आगे बढ़ाने की और इसमें तेजी से काम करना और भी आवश्यक था और जैसा कि कुछ वर्षों के अनुभवों ने सिखाया था कि इस्पात का अभाव सुधरती अर्थव्यवस्था के लिए रोड़ा नहीं होना चाहिए ."
indic2012,Latest lyric poetry of Mahadevi is at paramount position.,आधुनिक गीत काव्य में महादेवी जी का स्थान सर्वोपरि है।
tides,"G . Rao , AIR 1952 SC 196 -RRB- .","जी . राव , ए आई आर 1952 एस सी 196 ) ."
ted,But Look at what happened to the babies,पर उन शिशुओं को देखिये क्या हुआ
tides,What we want to suggest is that the process of change can be felt at every step and its stages can be clearly marked out .,"हम हम जो व्यक़्त करना चाहते है , वह यह है कि परिवर्तन की प्रक्रिया हर कदम पर महसूस की जा सकती है और उसकी अवस्थाएं साफ साफ निर्धारित की जा सकती है ."
tides,The young men and women put Henna -LRB- Seur -RRB- on their palms and the soles of their feet .,युवक-युवतियां अपने हाथ-पाँव को मेहँदी तथा त्यूर ( देसी मेंहदी ) लगाकर सजाती
ted,"Now, I do most of my speaking in front of an education crowd,","अब मैं अधिकतर शिक्षा से जुड़े लोगों के सामने बोलती हूँ,"
tides,It is considered auspicious to hear them utter the names of the months in the year .,उनके मुख से नए महीनों का नाम सुनना शुभ माना जाता
tides,"Her first film , Playgirls , with then reigning siren Silk Smitha-who taught her to wear double-padded bras and tights for bathing scenes-fetched her Rs 20,000 .","अपनी पहली फिल्म प्लेगर्ल्स , जिसमें उन्होंने तब की दक्षिण की पोर्न मलिका सिल्क स्मिता के साथ काम किया था , के लिए उन्हें 20,000 रु.मिले थे.दरासल , स्मिता ने ही उन्हें नहाने वाले दृश्यों के लिए ड़बल पैड़ ( दोहरे अस्तर ) वाली ब्रा और बदन पर कसे कपड़ै पहनने का पा पढया था ."
indic2012,To Keep the National issues going on can only be discussed in the Lok sabah.,राष्ट्रीय आपातकाल को जारी रखने वाला प्रस्ताव केवल लोकस्भा मे लाया और पास किया जायेगा
ted,like a little kid.,एक छोटे से बच्चे की तरह रो रहा था।
tides,"The author of the book Gita distributes the duties of worship among the body , the voice , and the heait What the body has to do is fasting , prayer , the fulfilment of the law , the service towards the angels and the sages among the Brahmans , keeping clean the body , keeping aloof from killing under all circumstances , and never lookine at another man 's wife and other 's property .","गीता के रचयिता ने उपासना के कर्म को शरीर , वाणी और मन में विभाजित किया है.शरीर का कार्य है व्रत रखना , प्रार्थना करन , विधि-निर्वाह करना , देवताओं और ब्राह्मणों में ऋषि-मुनियों की सेवा करना , शरीर को स्वच्छ रखना , किसी भी परिस्थिति में हत्या से दूर रहना और कभी दूसरे मनुष्य की पत्नी और दूसरे की संपत्ति की ओर दृष्टि न डालना ."
indic2012,"United State of Congress is carry the Clean Air Act in 1960,70 and 90.It was make strong the Air Pollution Law,Personally America State and Some Europe Country and Europe Association follow this Law,Clear Air Act is Assure the Set of Numerical Air Pollution and give Reporting and Enforcements system.",१९६० ७० और ९० में संयुक्त राज्य अमेरिका की कांग्रेस (United States Congress) ने साफ़ वायु अधिनियम (Clean Air Act) की श्रृंखला को पारित किया जिसने वायु प्रदूषण के नियम को मजबूत किया व्यक्तिगत अमेरिकी राज्योंकुछ यूरोपीय देशों और यूरोपीय संघ ने इन पहल का पालन किया स्वच्छ वायु अधिनियम सीमा संख्यात्मक हवा प्रदूषक के बुनियादी समूह के सेट को निश्चित करता है और रिपोर्टिंग और प्रवर्तन तंत्र को प्रदान करता है
ted,The Canadian government has not always been kind,कनाडा की सरकार कभी भी इन्यूट लोगों के लिए दयालु नहीं रही
indic2012,"according to “”Ain-e-Akbari“” (year 1653) and “” Munshiat-e-Abul-Fazl“”, Surdas was a poet in Akbar's court.",आइने अकबरी में (संवत् १६५३ वि०) तथा मुतखबुत-तवारीख के अनुसार सूरदास को अकबर के दरबारी संगीतज्ञों में माना है।
ted,"we could make a low pressure, non-toxic refrigerator.","हम एक कम दबाव , गैर विषैले रेफ्रिजरेटर बना सकते हैं."
indic2012,Riben Atrop first serve in Berlin as Germany's other Neto Subashbabu met,बर्लिन में सुभाषबाबू सर्वप्रथम रिबेनट्रोप जैसे जर्मनी के अन्य नेताओ से मिले।
tides,Do n't forget to enclose the recipt as evidence of your expenses .,यह मत भूलिए कि आपको इनके साथ अपने दावे का प्रमाण के रूप में खच की रसीद भी भेजनी है .
ted,which is: is it really true that humans will always despoil commons?,जो कि ये है: क्या ये सच है कि मानव सामूहिक संसाधनों को नष्ट कर देगा?
indic2012,In India 60.5% are Hindus 13.4% Musalman which is the third place after Indonesia and Pakistan.,यद्यपि भारत की ८०.५ प्रतिशत जनसंख्या हिन्दू है १३.४ प्रतिशत जनसंख्या के साथ भारत विश्व में मुसलमानों की संख्या में भी इंडोनेशिया और पाकिस्तान के बाद तीसरे स्थान पर है।
tides,"While sources in the locality confirm that the plots have been sold to a builder who plans to construct apartments there , Khattar claims he is building his own house on the plot .","जहां उस इलके के सूत्र पुष्टि करते हैं कि ये भूखंड़ किसी भवन-निर्माता को बेच दिए गए हैं और यहां कई लौटों वाल भवन बनाने की तैयारी है , वहीं खट्टंर का दावा है कि वे इस भूखंड़ पर अपना मकान बनवा रहे हैं ."
ted,"And one day she gives up on you and me,","और एक दिन वो आपको और मुझे छोड़ देती है,"
tides,"Apart from the deterrent effect of parliamentary questions on public functionaries , the questions bring to the notice of the Executive , the way the policies are being implemented in the field and how these affect the common man .","सरकारी कार्य करने वालों पर संसदीय प्रश्नों के रोकात्मक प्रभाव के अलावा , प्रश्नों के द्वारा कार्यपालिका जान सकती है कि नीतियों को किस तरह कार्यरूप दिया जा रहा है और आम व्यक़्तियों को ये किस तरह प्रभावित कर रही हैं ."
tides,The exploration of Dwarka in 1981 looks like child 's play compared to this operations .,इसकी दुरूहता को देखते हे 1981 के द्वारका खोज उपक्रम को महज बच्चों का खेल कहा जा सकता है .
tides,"It produced a sensation of pride in me as well as that of shame , for I was ashamed of much that I saw around me , of superstitious practices , of outworn ideas , and , above all , our subject and poverty-stricken state .","इससे मुझमें गर्व पैदा हुआ और साथ ही साथ शर्मिंदगी भी , जो इसलिए कि मैं अपने चारों और अंधविश्वास , दकियानूसी विचार और इस सबके अलावा लोगों को गुलाम और गरीब पाता ."
ted,We're told that we went into Afghanistan,हमें कहा गया की हम अफगानिस्तान गए
tides,Perhaps in no family would the fourteenth child be particularly welcome and much less so in a family where all the elder brothers and sisters and their families lived together in one joint household .,"ऐसे में , शायद ही किसी परिवार में चौदहवीं संतान का कोई विशेष स्वागत किया जाता होगा , जहां सभी बड़े भाई और बहनें और उनका परिवार एक साथ एक ही संयुक्त परिवार में रहते हों ."
indic2012,"after the session, subash babu tried very hard for the agreement.",अधिवेशन के बाद सुभाषबाबू ने समझोते के लिए बहुत कोशिश की।
tides,"I too am a symbol at the present moment , a symbol of Indian nationalism , resolved to break away from the British Empire and achieve the independence of India .","मैं मौजूदा आंदोलन का प्रतीक भी हूं , यह आंदोलन भारत की राष्ट्रीयता का प्रतीक है.मकसद अंग्रेजी साम्राज़्य से अलग होना और हिंदुस्तान के लिए आजादी हासिल करना है ."
tides,"The strain , physical and emotional , of the German tour affected his health and he longed to return to India to the quite of Santiniketan .",अपनी जर्मनी यात्रा के शारीरिक और मानसिक दबाव के कारण रवीन्द्रनाथ की सेहत पर बुरा असर पड़ा और वे शांतिनिकेतन वापस लौटना चाहते थे .
tides,"Legs are of fine quality , knees and hocks strong , the pastern has a gradual and proportionate slope .",पिछली टांग के घुटने मजबूत होते हैं.एड़ी के ऊपर से लेकर दुम तक बड़ी क्रमिक और अनुपातिक ढाल होती है .
tides,"Yet there is much music there and many a raga and tala has , who knows , its first fountains in these non-musical acts of howling .",फिर भी इनमें पर्याप्त ' संगीत ' है और किसे मालूम हमारे बहुत से रागों और तालों का मूल स्त्रोत इन्हीं गैर-संगीतात्मक चीख-पुकारों में निहित हो ?
tides,"Further and more importantly , to reduce the suffering before the inevitable death , so that people can age happily .","इसके अतिरिक़्त अधिक महत्वपूर्ण यह है कि अपरिहार्य मृत्यु से पहले की पीड़ा को कम किया जाए , जिससे लोग सुख से जीवन बिताते हुए वृद्धावस्था की और अग्रसर हो सकें ."
indic2012,History,इतिहास
ted,"in mice, in principle - and what I mean by in principle is,","चूहों में, सिद्धांत के तौर पे - और सिद्धांत से मेरा मतलब है,"
